URL,80
www.gamehub.om,X,
autodiscover.gamehub.om,X,
cpanel.gamehub.om,X,
cpcalendars.gamehub.om,X,
cpcontacts.gamehub.om,X,
mail.gamehub.om,X,
pay.gamehub.om,X,
www.pay.gamehub.om,X,
webdisk.gamehub.om,X,
webmail.gamehub.om,X,
